,index,wid,game,image,responses,remembered_outcome,category_1,category_2,category_3,category_4,outcome,outcome_mem_difference,item
640,724,w4077e51,2,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,2,1.0,Animal_Sea_Solid_Large
641,725,w4077e51,2,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-1,0.0,Animal_Land_Solid_Small
642,726,w4077e51,3,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,2,1.0,Animal_Sea_Pattern_Small
643,727,w4077e51,3,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
644,728,w4077e51,3,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-1,1.0,Object_Sea_Pattern_Large
645,729,w4077e51,3,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
646,730,w4077e51,3,Object_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Small,1,-1.0,Object_Land_Pattern_Small
647,731,w4077e51,3,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-2,-1.0,Object_Land_Solid_Small
648,732,w4077e51,4,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,-2,-4.0,Animal_Sea_Pattern_Large
649,733,w4077e51,4,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
650,734,w4077e51,4,Animal_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Small,-1,0.0,Animal_Sea_Pattern_Small
651,735,w4077e51,4,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
652,736,w4077e51,4,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,1,-1.0,Object_Land_Pattern_Large
653,737,w4077e51,4,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,-2,-3.0,Animal_Sea_Solid_Small
654,738,w4077e51,5,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-1,0.0,Object_Land_Solid_Small
655,739,w4077e51,5,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
656,740,w4077e51,5,Object_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Large,-2,0.0,Object_Land_Pattern_Large
657,741,w4077e51,5,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-2,-1.0,Object_Land_Pattern_Small
658,742,w4077e51,5,Animal_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Large,1,0.0,Animal_Land_Solid_Large
659,743,w4077e51,5,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,1,0.0,Animal_Land_Solid_Small
660,744,w4077e51,6,Animal_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Large,-2,0.0,Animal_Land_Solid_Large
661,745,w4077e51,6,Object_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Small,1,0.0,Object_Sea_Pattern_Small
662,746,w4077e51,6,Animal_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Large,-2,0.0,Animal_Land_Pattern_Large
663,747,w4077e51,6,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,2,1.0,Animal_Sea_Pattern_Small
664,748,w4077e51,6,Animal_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Small,-1,0.0,Animal_Sea_Solid_Small
665,749,w4077e51,6,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,2,0.0,Animal_Land_Pattern_Small
666,750,w4077e51,7,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-1,0.0,Animal_Land_Pattern_Small
667,751,w4077e51,7,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,1,2.0,Object_Sea_Solid_Large
668,752,w4077e51,7,Object_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Large,2,1.0,Object_Land_Solid_Large
669,753,w4077e51,7,Object_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Large,-2,0.0,Object_Land_Pattern_Large
670,754,w4077e51,7,Animal_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Large,-1,0.0,Animal_Sea_Pattern_Large
671,755,w4077e51,7,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,2,3.0,Object_Sea_Pattern_Large
672,756,w44b0e2d,1,Animal_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Large,-2,-4.0,Animal_Land_Pattern_Large
673,757,w44b0e2d,1,Object_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Large,1,0.0,Object_Land_Pattern_Large
674,758,w44b0e2d,1,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,2,0.0,Animal_Land_Solid_Large
675,759,w44b0e2d,1,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
676,760,w44b0e2d,1,Animal_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Large,-1,0.0,Animal_Sea_Pattern_Large
677,761,w44b0e2d,1,Object_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Solid,Large,-2,0.0,Object_Land_Solid_Large
678,762,w44b0e2d,2,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,1,0.0,Animal_Land_Solid_Small
679,763,w44b0e2d,2,Animal_Sea_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Large,-2,0.0,Animal_Sea_Solid_Large
680,764,w44b0e2d,2,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,1,0.0,Animal_Sea_Pattern_Small
681,765,w44b0e2d,2,Object_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Large,1,0.0,Object_Land_Solid_Large
682,766,w44b0e2d,2,Animal_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Large,-1,0.0,Animal_Land_Solid_Large
683,767,w44b0e2d,2,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,-1,-2.0,Animal_Land_Pattern_Small
684,768,w44b0e2d,3,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-1,0.0,Animal_Land_Solid_Small
685,769,w44b0e2d,3,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-1,0.0,Object_Land_Pattern_Large
686,770,w44b0e2d,3,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,-1,0.0,Object_Sea_Solid_Large
687,771,w44b0e2d,3,Animal_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Solid,Large,2,0.0,Animal_Sea_Solid_Large
688,772,w44b0e2d,3,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,1,-1.0,Animal_Land_Solid_Large
689,773,w44b0e2d,3,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,2,0.0,Animal_Sea_Pattern_Large
690,774,w44b0e2d,4,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-1,0.0,Object_Sea_Solid_Small
691,775,w44b0e2d,4,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-2,0.0,Object_Sea_Pattern_Large
692,776,w44b0e2d,4,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,2,3.0,Object_Sea_Solid_Large
693,777,w44b0e2d,4,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
694,778,w44b0e2d,4,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
695,779,w44b0e2d,4,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
696,780,w44b0e2d,5,Object_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Large,-1,0.0,Object_Land_Solid_Large
697,781,w44b0e2d,5,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-1,0.0,Object_Sea_Pattern_Small
698,782,w44b0e2d,5,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,2,0.0,Animal_Land_Solid_Large
699,783,w44b0e2d,5,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
700,784,w44b0e2d,5,Object_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Small,2,0.0,Object_Land_Solid_Small
701,785,w44b0e2d,5,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,2,0.0,Animal_Land_Solid_Small
702,786,w44b0e2d,6,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
703,787,w44b0e2d,6,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-2,-1.0,Object_Land_Pattern_Small
704,788,w44b0e2d,6,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,1,2.0,Animal_Land_Pattern_Small
705,789,w44b0e2d,6,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,2,4.0,Animal_Sea_Pattern_Small
706,790,w44b0e2d,6,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,-1,0.0,Object_Sea_Pattern_Large
707,791,w44b0e2d,6,Animal_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Large,-1,0.0,Animal_Land_Pattern_Large
708,792,w44b0e2d,7,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,-2,-1.0,Object_Sea_Pattern_Large
709,793,w44b0e2d,7,Object_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Small,1,0.0,Object_Land_Solid_Small
710,794,w44b0e2d,7,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-1,0.0,Object_Land_Pattern_Large
711,795,w44b0e2d,7,Object_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Small,1,0.0,Object_Sea_Pattern_Small
712,796,w44b0e2d,7,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,2,0.0,Animal_Land_Pattern_Small
713,797,w44b0e2d,7,Object_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Small,-2,0.0,Object_Sea_Solid_Small
714,798,we6483ae,1,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,-2,-1.0,Object_Sea_Solid_Small
715,799,we6483ae,1,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
716,800,we6483ae,1,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-1,1.0,Object_Sea_Pattern_Large
717,801,we6483ae,1,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,2,3.0,Object_Land_Pattern_Small
718,802,we6483ae,1,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,-1,-2.0,Animal_Land_Pattern_Small
719,803,we6483ae,1,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,1,-1.0,Animal_Land_Solid_Small
720,804,we6483ae,2,Animal_Land_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Small,-2,0.0,Animal_Land_Solid_Small
721,805,we6483ae,2,Animal_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Small,-2,0.0,Animal_Land_Pattern_Small
722,806,we6483ae,2,Object_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Small,2,0.0,Object_Land_Pattern_Small
723,807,we6483ae,2,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
724,808,we6483ae,2,Object_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Small,1,0.0,Object_Sea_Solid_Small
725,809,we6483ae,2,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-2,-1.0,Object_Land_Solid_Small
726,810,we6483ae,3,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-2,-1.0,Object_Sea_Pattern_Small
727,811,we6483ae,3,Animal_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Large,-2,-1.0,Animal_Sea_Solid_Large
728,812,we6483ae,3,Object_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Large,2,1.0,Object_Sea_Pattern_Large
729,813,we6483ae,3,Animal_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Large,-1,1.0,Animal_Sea_Pattern_Large
730,814,we6483ae,3,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,2,0.0,Object_Land_Solid_Large
731,815,we6483ae,3,Object_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Small,1,3.0,Object_Sea_Solid_Small
732,816,we6483ae,4,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-2,-1.0,Animal_Land_Solid_Small
733,817,we6483ae,4,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,-2,-4.0,Animal_Land_Solid_Large
734,818,we6483ae,4,Animal_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Large,2,4.0,Animal_Sea_Pattern_Large
735,819,we6483ae,4,Animal_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Large,-1,-3.0,Animal_Land_Pattern_Large
736,820,we6483ae,4,Object_Sea_Solid_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Large,2,4.0,Object_Sea_Solid_Large
737,821,we6483ae,4,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,2,3.0,Object_Land_Pattern_Large
738,822,we6483ae,5,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-2,-1.0,Object_Land_Pattern_Large
739,823,we6483ae,5,Animal_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Small,-1,0.0,Animal_Sea_Pattern_Small
740,824,we6483ae,5,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
741,825,we6483ae,5,Object_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Large,2,1.0,Object_Sea_Pattern_Large
742,826,we6483ae,5,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,2,0.0,Animal_Sea_Pattern_Large
743,827,we6483ae,5,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-2,-1.0,Animal_Land_Pattern_Small
744,828,we6483ae,6,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,1,-1.0,Object_Sea_Solid_Large
745,829,we6483ae,6,Animal_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Large,-1,1.0,Animal_Land_Pattern_Large
746,830,we6483ae,6,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,2,1.0,Animal_Sea_Solid_Small
747,831,we6483ae,6,Object_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Large,2,1.0,Object_Land_Solid_Large
748,832,we6483ae,6,Animal_Land_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Solid,Large,-1,1.0,Animal_Land_Solid_Large
749,833,we6483ae,6,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-2,-1.0,Object_Land_Pattern_Large
750,834,we6483ae,7,Object_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Large,2,0.0,Object_Sea_Pattern_Large
751,835,we6483ae,7,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-1,0.0,Object_Land_Solid_Small
752,836,we6483ae,7,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,-1,-2.0,Animal_Sea_Solid_Small
753,837,we6483ae,7,Object_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Small,2,1.0,Object_Sea_Pattern_Small
754,838,we6483ae,7,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,1,0.0,Animal_Sea_Pattern_Small
755,839,we6483ae,7,Animal_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Large,-2,-1.0,Animal_Sea_Pattern_Large
756,840,w37d3a90,1,Object_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Small,2,1.0,Object_Land_Solid_Small
757,841,w37d3a90,1,Object_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Large,-1,0.0,Object_Sea_Solid_Large
758,842,w37d3a90,1,Animal_Sea_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Large,-2,0.0,Animal_Sea_Solid_Large
759,843,w37d3a90,1,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,2,3.0,Object_Sea_Pattern_Large
760,844,w37d3a90,1,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,2,0.0,Animal_Land_Solid_Large
761,845,w37d3a90,1,Animal_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Pattern,Large,-1,0.0,Animal_Sea_Pattern_Large
762,846,w37d3a90,2,Object_Land_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Land,Solid,Small,-2,0.0,Object_Land_Solid_Small
763,847,w37d3a90,2,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,-1,-2.0,Animal_Land_Solid_Small
764,848,w37d3a90,2,Object_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Small,1,0.0,Object_Land_Pattern_Small
765,849,w37d3a90,2,Animal_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Large,-1,0.0,Animal_Land_Pattern_Large
766,850,w37d3a90,2,Object_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Large,1,0.0,Object_Land_Pattern_Large
767,851,w37d3a90,2,Object_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Large,1,0.0,Object_Sea_Pattern_Large
768,852,w37d3a90,3,Object_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Small,1,0.0,Object_Sea_Solid_Small
769,853,w37d3a90,3,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
770,854,w37d3a90,3,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-2,0.0,Object_Sea_Pattern_Large
771,855,w37d3a90,3,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-1,0.0,Animal_Land_Pattern_Small
772,856,w37d3a90,3,Object_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Small,2,0.0,Object_Sea_Pattern_Small
773,857,w37d3a90,3,Object_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Large,2,0.0,Object_Land_Solid_Large
774,858,w37d3a90,4,Animal_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Large,-1,0.0,Animal_Land_Pattern_Large
775,859,w37d3a90,4,Animal_Sea_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Large,-1,0.0,Animal_Sea_Solid_Large
776,860,w37d3a90,4,Object_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Solid,Small,1,2.0,Object_Sea_Solid_Small
777,861,w37d3a90,4,Animal_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Large,-2,-3.0,Animal_Sea_Pattern_Large
778,862,w37d3a90,4,Object_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Solid,Large,2,0.0,Object_Sea_Solid_Large
779,863,w37d3a90,4,Animal_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Small,2,0.0,Animal_Sea_Pattern_Small
780,864,w37d3a90,5,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,-2,-3.0,Animal_Sea_Solid_Large
781,865,w37d3a90,5,Object_Sea_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Large,1,2.0,Object_Sea_Pattern_Large
782,866,w37d3a90,5,Animal_Land_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Large,1,-1.0,Animal_Land_Solid_Large
783,867,w37d3a90,5,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,-2,-3.0,Animal_Sea_Solid_Small
784,868,w37d3a90,5,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-1,0.0,Object_Sea_Pattern_Small
785,869,w37d3a90,5,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,1,-1.0,Animal_Sea_Pattern_Large
786,870,w37d3a90,6,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,1,0.0,Animal_Land_Solid_Small
787,871,w37d3a90,6,Object_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Large,-1,0.0,Object_Land_Solid_Large
788,872,w37d3a90,6,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,-1,-2.0,Animal_Land_Pattern_Large
789,873,w37d3a90,6,Animal_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Small,2,1.0,Animal_Land_Pattern_Small
790,874,w37d3a90,6,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,-2,0.0,Animal_Sea_Pattern_Small
791,875,w37d3a90,6,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,2,1.0,Animal_Sea_Solid_Small
792,876,w37d3a90,7,Object_Land_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Small,-1,-2.0,Object_Land_Pattern_Small
793,877,w37d3a90,7,Object_Land_Pattern_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Large,-1,0.0,Object_Land_Pattern_Large
794,878,w37d3a90,7,Animal_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Large,2,0.0,Animal_Land_Pattern_Large
795,879,w37d3a90,7,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,-1,0.0,Object_Land_Solid_Small
796,880,w37d3a90,7,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,2,0.0,Animal_Land_Solid_Small
797,881,w37d3a90,7,Animal_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Small,1,0.0,Animal_Sea_Pattern_Small
798,882,w108c7bf,1,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,2,0.0,Animal_Land_Pattern_Small
799,883,w108c7bf,1,Object_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Small,2,4.0,Object_Sea_Pattern_Small
800,884,w108c7bf,1,Animal_Sea_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Sea,Solid,Small,-2,-1.0,Animal_Sea_Solid_Small
801,885,w108c7bf,1,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,-2,0.0,Animal_Sea_Pattern_Small
802,886,w108c7bf,1,Animal_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Large,-2,0.0,Animal_Land_Pattern_Large
803,887,w108c7bf,1,Object_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Land,Pattern,Large,1,0.0,Object_Land_Pattern_Large
804,888,w108c7bf,2,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,-1,-3.0,Animal_Land_Pattern_Small
805,889,w108c7bf,2,Object_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Small,1,0.0,Object_Sea_Solid_Small
806,890,w108c7bf,2,Animal_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Large,1,2.0,Animal_Land_Solid_Large
807,891,w108c7bf,2,Object_Land_Solid_Large,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Large,-1,0.0,Object_Land_Solid_Large
808,892,w108c7bf,2,Animal_Sea_Solid_Large,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Large,-2,0.0,Animal_Sea_Solid_Large
809,893,w108c7bf,2,Animal_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Small,1,0.0,Animal_Land_Solid_Small
